WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5050
 * Running on http://10.124.195.66:5050
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 347-889-187
127.0.0.1 - - [17/Jun/2026 20:21:29] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [17/Jun/2026 20:22:43] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:43] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:46] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:48] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:51] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:53] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:56] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:58] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:01] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:03] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:06] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:08] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:11] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:13] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:16] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:18] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:21] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:23] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:26] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:28] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:31] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:33] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:36] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:38] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:41] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:43] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:46] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:48] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:51] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:53] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:53] "GET /chat/global HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:53] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:53] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:53] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:53] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:54] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:55] "GET /chat/global HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:55] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:55] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:55] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:55] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:55] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:56] "GET /chat/global HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:56] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:56] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:56] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:56] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:56] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:56] "GET /jugador/explorar HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:56] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:57] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:57] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:57] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /jugador/comunidades HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/cs2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/thefinals.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/overwatch2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/destiny2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/rainbow6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/bo6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/valorant.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/tf2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/bf2042.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/tarkov.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/splitgate.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/hunt.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/xdefiant.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/fortnite.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/warzone.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/apex.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/freefire.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/pubg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/fallguys.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/codm.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/lol.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/stumble.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/mobas/dota2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/mlbb.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/hok.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/genshin.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/warframe.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/wow.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/ffxiv.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/bg3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/d4.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/poe.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/lostark.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/bdo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/minecraft.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/eldenring.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/roblox.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/supervivencia/gtav.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:58] "GET /static/img/comunidades/shooters/palworld.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/rust.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/ark.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/nms.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/terraria.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/valheim.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/rdr2.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/eafc26.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/cyberpunk.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/forest.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/helldivers2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/amongus.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/sot.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/rocket.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/phasmo.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/dbd.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/lethal.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/brawlhalla.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/tekken8.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/sf6.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/gt7.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/mk8.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:23:59] "GET /static/img/comunidades/shooters/fh5.jpg HTTP/1.1" 404 -
127.0.0.1 - - [17/Jun/2026 20:24:00] "GET /mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:24:00] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:24:00] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:24:00] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:24:00] "GET /static/js/world-chat.js HTTP/1.1" 304 -
 * Detected change in 'C:\\Users\\PC\\Documents\\Proyectos\\RiftZone\\app\\controllers\\mensajes.py', reloading
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 347-889-187
 * Detected change in 'C:\\Users\\PC\\Documents\\Proyectos\\RiftZone\\app\\controllers\\mensajes.py', reloading
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 347-889-187
